condition,strategy,timeout_ms,run,frame,stall_ms
congested,reset-at-keyframe,200,8,303,976.0
congested,reset-at-keyframe,200,8,304,364.0
congested,reset-at-keyframe,200,8,523,532.0
congested,reset-at-keyframe,200,8,524,940.0
congested,reset-at-keyframe,200,8,525,976.0
congested,reset-at-keyframe,200,9,267,418.0
congested,reset-at-keyframe,200,9,268,1035.0
congested,reset-at-keyframe,200,9,296,704.0
congested,reset-at-keyframe,200,9,297,665.0
congested,reset-at-keyframe,200,9,298,714.0
congested,reset-at-keyframe,200,9,299,1059.0
congested,reset-at-keyframe,200,9,300,996.0
congested,reset-at-keyframe,200,9,301,1000.0
congested,reset-at-keyframe,200,9,302,1012.0
congested,reset-at-keyframe,200,9,303,999.0
congested,reset-at-keyframe,200,9,304,351.0
congested,reset-at-keyframe,200,9,523,533.0
congested,reset-at-keyframe,200,9,524,940.0
congested,reset-at-keyframe,200,9,525,976.0
congested,reset-at-keyframe,200,10,267,417.0
congested,reset-at-keyframe,200,10,268,1035.0
congested,reset-at-keyframe,200,10,296,704.0
congested,reset-at-keyframe,200,10,297,663.0
congested,reset-at-keyframe,200,10,298,715.0
congested,reset-at-keyframe,200,10,299,1060.0
congested,reset-at-keyframe,200,10,300,996.0
congested,reset-at-keyframe,200,10,301,1001.0
congested,reset-at-keyframe,200,10,302,1010.0
congested,reset-at-keyframe,200,10,303,999.0
congested,reset-at-keyframe,200,10,304,352.0
congested,reset-at-keyframe,200,10,523,533.0
congested,reset-at-keyframe,200,10,524,939.0
congested,reset-at-keyframe,200,10,525,976.0
congested,reset-at-keyframe,500,1,284,438.0
congested,reset-at-keyframe,500,1,285,558.0
congested,reset-at-keyframe,500,1,315,686.0
congested,reset-at-keyframe,500,1,316,653.0
congested,reset-at-keyframe,500,1,317,733.0
congested,reset-at-keyframe,500,1,347,768.0
congested,reset-at-keyframe,500,1,348,897.0
congested,reset-at-keyframe,500,1,349,911.0
congested,reset-at-keyframe,500,1,350,925.0
congested,reset-at-keyframe,500,1,351,918.0
congested,reset-at-keyframe,500,1,352,340.0
congested,reset-at-keyframe,500,1,601,808.0
congested,reset-at-keyframe,500,1,602,766.0
congested,reset-at-keyframe,500,2,284,435.0
congested,reset-at-keyframe,500,2,285,558.0
congested,reset-at-keyframe,500,2,315,686.0
congested,reset-at-keyframe,500,2,316,653.0
congested,reset-at-keyframe,500,2,317,733.0
congested,reset-at-keyframe,500,2,347,769.0
congested,reset-at-keyframe,500,2,348,896.0
congested,reset-at-keyframe,500,2,349,911.0
congested,reset-at-keyframe,500,2,350,926.0
congested,reset-at-keyframe,500,2,351,918.0
congested,reset-at-keyframe,500,2,352,340.0
congested,reset-at-keyframe,500,2,601,808.0
congested,reset-at-keyframe,500,2,602,767.0
congested,reset-at-keyframe,500,3,284,436.0
congested,reset-at-keyframe,500,3,285,558.0
congested,reset-at-keyframe,500,3,315,687.0
congested,reset-at-keyframe,500,3,316,664.0
congested,reset-at-keyframe,500,3,317,709.0
congested,reset-at-keyframe,500,3,347,768.0
congested,reset-at-keyframe,500,3,348,897.0
congested,reset-at-keyframe,500,3,349,912.0
congested,reset-at-keyframe,500,3,350,937.0
congested,reset-at-keyframe,500,3,351,906.0
congested,reset-at-keyframe,500,3,352,316.0
congested,reset-at-keyframe,500,3,601,761.0
congested,reset-at-keyframe,500,3,602,791.0
congested,reset-at-keyframe,500,4,284,466.0
congested,reset-at-keyframe,500,4,285,550.0
congested,reset-at-keyframe,500,4,315,686.0
congested,reset-at-keyframe,500,4,316,653.0
congested,reset-at-keyframe,500,4,317,733.0
congested,reset-at-keyframe,500,4,347,768.0
congested,reset-at-keyframe,500,4,348,896.0
congested,reset-at-keyframe,500,4,349,911.0
congested,reset-at-keyframe,500,4,350,926.0
congested,reset-at-keyframe,500,4,351,906.0
congested,reset-at-keyframe,500,4,352,329.0
congested,reset-at-keyframe,500,4,601,784.0
congested,reset-at-keyframe,500,4,602,767.0
congested,reset-at-keyframe,500,5,284,454.0
congested,reset-at-keyframe,500,5,285,562.0
congested,reset-at-keyframe,500,5,315,687.0
congested,reset-at-keyframe,500,5,316,652.0
congested,reset-at-keyframe,500,5,317,733.0
congested,reset-at-keyframe,500,5,347,769.0
congested,reset-at-keyframe,500,5,348,884.0
congested,reset-at-keyframe,500,5,349,923.0
congested,reset-at-keyframe,500,5,350,925.0
congested,reset-at-keyframe,500,5,351,918.0
congested,reset-at-keyframe,500,5,352,293.0
congested,reset-at-keyframe,500,5,600,796.0
congested,reset-at-keyframe,500,5,601,766.0
congested,reset-at-keyframe,500,6,284,437.0
congested,reset-at-keyframe,500,6,285,558.0
congested,reset-at-keyframe,500,6,315,686.0
congested,reset-at-keyframe,500,6,316,652.0
congested,reset-at-keyframe,500,6,317,733.0
congested,reset-at-keyframe,500,6,347,768.0
congested,reset-at-keyframe,500,6,348,897.0
congested,reset-at-keyframe,500,6,349,911.0
congested,reset-at-keyframe,500,6,350,925.0
congested,reset-at-keyframe,500,6,351,919.0
congested,reset-at-keyframe,500,6,352,340.0
congested,reset-at-keyframe,500,6,601,809.0
congested,reset-at-keyframe,500,6,602,767.0
congested,reset-at-keyframe,500,7,267,418.0
congested,reset-at-keyframe,500,7,297,548.0
congested,reset-at-keyframe,500,7,298,665.0
congested,reset-at-keyframe,500,7,328,660.0
congested,reset-at-keyframe,500,7,329,697.0
congested,reset-at-keyframe,500,7,330,772.0
congested,reset-at-keyframe,500,7,356,590.0
congested,reset-at-keyframe,500,7,357,912.0
congested,reset-at-keyframe,500,7,358,937.0
congested,reset-at-keyframe,500,7,359,906.0
congested,reset-at-keyframe,500,7,360,351.0
congested,reset-at-keyframe,500,7,579,243.0
congested,reset-at-keyframe,500,7,609,809.0
congested,reset-at-keyframe,500,7,610,778.0
congested,reset-at-keyframe,500,8,284,437.0
congested,reset-at-keyframe,500,8,285,559.0
congested,reset-at-keyframe,500,8,315,687.0
congested,reset-at-keyframe,500,8,316,652.0
congested,reset-at-keyframe,500,8,317,733.0
congested,reset-at-keyframe,500,8,347,768.0
congested,reset-at-keyframe,500,8,348,885.0
congested,reset-at-keyframe,500,8,349,923.0
congested,reset-at-keyframe,500,8,350,937.0
congested,reset-at-keyframe,500,8,351,906.0
congested,reset-at-keyframe,500,8,352,351.0
congested,reset-at-keyframe,500,8,601,773.0
congested,reset-at-keyframe,500,8,602,779.0
congested,reset-at-keyframe,500,9,284,435.0
congested,reset-at-keyframe,500,9,285,558.0
congested,reset-at-keyframe,500,9,315,687.0
congested,reset-at-keyframe,500,9,316,653.0
congested,reset-at-keyframe,500,9,317,733.0
congested,reset-at-keyframe,500,9,347,768.0
congested,reset-at-keyframe,500,9,348,897.0
congested,reset-at-keyframe,500,9,349,912.0
congested,reset-at-keyframe,500,9,350,925.0
congested,reset-at-keyframe,500,9,351,919.0
congested,reset-at-keyframe,500,9,352,340.0
congested,reset-at-keyframe,500,9,600,808.0
congested,reset-at-keyframe,500,9,601,768.0
congested,reset-at-keyframe,500,10,284,436.0
congested,reset-at-keyframe,500,10,285,558.0
congested,reset-at-keyframe,500,10,315,687.0
congested,reset-at-keyframe,500,10,316,652.0
congested,reset-at-keyframe,500,10,317,733.0
congested,reset-at-keyframe,500,10,347,768.0
congested,reset-at-keyframe,500,10,348,885.0
congested,reset-at-keyframe,500,10,349,923.0
congested,reset-at-keyframe,500,10,350,925.0
congested,reset-at-keyframe,500,10,351,918.0
congested,reset-at-keyframe,500,10,352,352.0
congested,reset-at-keyframe,500,10,601,785.0
congested,reset-at-keyframe,500,10,602,767.0
congested,reset-at-keyframe,1000,1,296,515.0
congested,reset-at-keyframe,1000,1,297,558.0
congested,reset-at-keyframe,1000,1,327,663.0
congested,reset-at-keyframe,1000,1,328,652.0
congested,reset-at-keyframe,1000,1,329,698.0
congested,reset-at-keyframe,1000,1,359,780.0
congested,reset-at-keyframe,1000,1,360,909.0
congested,reset-at-keyframe,1000,1,361,910.0
congested,reset-at-keyframe,1000,1,362,925.0
congested,reset-at-keyframe,1000,1,363,881.0
congested,reset-at-keyframe,1000,1,364,375.0
congested,reset-at-keyframe,1000,1,613,458.0
congested,reset-at-keyframe,1000,1,614,791.0
congested,reset-at-keyframe,1000,2,296,515.0
congested,reset-at-keyframe,1000,2,297,557.0
congested,reset-at-keyframe,1000,2,327,663.0
congested,reset-at-keyframe,1000,2,328,653.0
congested,reset-at-keyframe,1000,2,329,696.0
congested,reset-at-keyframe,1000,2,359,780.0
congested,reset-at-keyframe,1000,2,360,909.0
congested,reset-at-keyframe,1000,2,361,910.0
congested,reset-at-keyframe,1000,2,362,925.0
congested,reset-at-keyframe,1000,2,363,881.0
congested,reset-at-keyframe,1000,2,364,375.0
congested,reset-at-keyframe,1000,2,613,458.0
congested,reset-at-keyframe,1000,2,614,791.0
congested,reset-at-keyframe,1000,3,296,515.0
congested,reset-at-keyframe,1000,3,297,558.0
congested,reset-at-keyframe,1000,3,327,663.0
congested,reset-at-keyframe,1000,3,328,653.0
congested,reset-at-keyframe,1000,3,329,698.0
congested,reset-at-keyframe,1000,3,359,780.0
congested,reset-at-keyframe,1000,3,360,909.0
congested,reset-at-keyframe,1000,3,361,910.0
congested,reset-at-keyframe,1000,3,362,925.0
congested,reset-at-keyframe,1000,3,363,882.0
congested,reset-at-keyframe,1000,3,364,376.0
congested,reset-at-keyframe,1000,3,613,472.0
congested,reset-at-keyframe,1000,3,614,791.0
congested,reset-at-keyframe,1000,4,296,514.0
congested,reset-at-keyframe,1000,4,297,558.0
congested,reset-at-keyframe,1000,4,327,663.0
