condition,strategy,timeout_ms,run,group_id,object_id,frame_type,latency_ms
baseline,none,0,1,12,28,P,50.6
baseline,none,0,1,12,29,P,50.6
baseline,none,0,1,13,0,I,74.1
baseline,none,0,1,13,1,P,50.3
baseline,none,0,1,13,2,P,50.5
baseline,none,0,1,13,3,P,50.4
baseline,none,0,1,13,4,P,50.5
baseline,none,0,1,13,5,P,50.4
baseline,none,0,1,13,6,P,50.4
baseline,none,0,1,13,7,P,50.4
baseline,none,0,1,13,8,P,50.4
baseline,none,0,1,13,9,P,50.4
baseline,none,0,1,13,10,P,50.4
baseline,none,0,1,13,11,P,50.5
baseline,none,0,1,13,12,P,50.4
baseline,none,0,1,13,13,P,50.5
baseline,none,0,1,13,14,P,50.5
baseline,none,0,1,13,15,P,50.4
baseline,none,0,1,13,16,P,50.5
baseline,none,0,1,13,17,P,52.3
baseline,none,0,1,13,18,P,50.3
baseline,none,0,1,13,19,P,50.3
baseline,none,0,1,13,20,P,50.3
baseline,none,0,1,13,21,P,50.3
baseline,none,0,1,13,22,P,50.4
baseline,none,0,1,13,23,P,50.5
baseline,none,0,1,13,24,P,50.3
baseline,none,0,1,13,25,P,51.4
baseline,none,0,1,13,26,P,50.5
baseline,none,0,1,13,27,P,50.2
baseline,none,0,1,13,28,P,50.5
baseline,none,0,1,13,29,P,50.4
baseline,none,0,1,14,0,I,70.6
baseline,none,0,1,14,1,P,50.2
baseline,none,0,1,14,2,P,50.4
baseline,none,0,1,14,3,P,50.4
baseline,none,0,1,14,4,P,50.5
baseline,none,0,1,14,5,P,50.4
baseline,none,0,1,14,6,P,50.5
baseline,none,0,1,14,7,P,50.5
baseline,none,0,1,14,8,P,50.4
baseline,none,0,1,14,9,P,50.4
baseline,none,0,1,14,10,P,50.5
baseline,none,0,1,14,11,P,50.5
baseline,none,0,1,14,12,P,50.3
baseline,none,0,1,14,13,P,50.4
baseline,none,0,1,14,14,P,50.4
baseline,none,0,1,14,15,P,50.4
baseline,none,0,1,14,16,P,50.4
baseline,none,0,1,14,17,P,50.4
baseline,none,0,1,14,18,P,50.4
baseline,none,0,1,14,19,P,50.4
baseline,none,0,1,14,20,P,50.4
baseline,none,0,1,14,21,P,50.4
baseline,none,0,1,14,22,P,50.5
baseline,none,0,1,14,23,P,50.3
baseline,none,0,1,14,24,P,50.4
baseline,none,0,1,14,25,P,50.5
baseline,none,0,1,14,26,P,50.3
baseline,none,0,1,14,27,P,50.5
baseline,none,0,1,14,28,P,50.3
baseline,none,0,1,14,29,P,50.3
baseline,none,0,1,15,0,I,69.8
baseline,none,0,1,15,1,P,50.2
baseline,none,0,1,15,2,P,50.3
baseline,none,0,1,15,3,P,50.5
baseline,none,0,1,15,4,P,50.3
baseline,none,0,1,15,5,P,50.3
baseline,none,0,1,15,6,P,50.3
baseline,none,0,1,15,7,P,50.3
baseline,none,0,1,15,8,P,50.3
baseline,none,0,1,15,9,P,50.3
baseline,none,0,1,15,10,P,50.3
baseline,none,0,1,15,11,P,50.2
baseline,none,0,1,15,12,P,50.3
baseline,none,0,1,15,13,P,50.3
baseline,none,0,1,15,14,P,50.4
baseline,none,0,1,15,15,P,50.4
baseline,none,0,1,15,16,P,50.4
baseline,none,0,1,15,17,P,50.4
baseline,none,0,1,15,18,P,50.4
baseline,none,0,1,15,19,P,50.5
baseline,none,0,1,15,20,P,50.4
baseline,none,0,1,15,21,P,50.4
baseline,none,0,1,15,22,P,50.4
baseline,none,0,1,15,23,P,50.3
baseline,none,0,1,15,24,P,50.3
baseline,none,0,1,15,25,P,50.3
baseline,none,0,1,15,26,P,50.3
baseline,none,0,1,15,27,P,50.3
baseline,none,0,1,15,28,P,50.4
baseline,none,0,1,15,29,P,50.4
baseline,none,0,1,16,0,I,70.7
baseline,none,0,1,16,1,P,50.2
baseline,none,0,1,16,2,P,50.3
baseline,none,0,1,16,3,P,50.4
baseline,none,0,1,16,4,P,50.6
baseline,none,0,1,16,5,P,50.6
baseline,none,0,1,16,6,P,50.6
baseline,none,0,1,16,7,P,50.5
baseline,none,0,1,16,8,P,50.6
baseline,none,0,1,16,9,P,50.4
baseline,none,0,1,16,10,P,50.5
baseline,none,0,1,16,11,P,50.4
baseline,none,0,1,16,12,P,50.4
baseline,none,0,1,16,13,P,50.3
baseline,none,0,1,16,14,P,50.4
baseline,none,0,1,16,15,P,50.5
baseline,none,0,1,16,16,P,50.8
baseline,none,0,1,16,17,P,50.6
baseline,none,0,1,16,18,P,50.5
baseline,none,0,1,16,19,P,50.3
baseline,none,0,1,16,20,P,50.6
baseline,none,0,1,16,21,P,50.5
baseline,none,0,1,16,22,P,50.3
baseline,none,0,1,16,23,P,50.5
baseline,none,0,1,16,24,P,50.6
baseline,none,0,1,16,25,P,50.6
baseline,none,0,1,17,0,I,72.0
baseline,none,0,1,17,1,P,50.4
baseline,none,0,1,17,2,P,50.4
baseline,none,0,1,17,3,P,50.3
baseline,none,0,1,17,4,P,50.4
baseline,none,0,1,17,5,P,50.4
baseline,none,0,1,17,6,P,50.5
baseline,none,0,1,17,7,P,50.4
baseline,none,0,1,17,8,P,50.4
baseline,none,0,1,17,9,P,50.5
baseline,none,0,1,17,10,P,50.5
baseline,none,0,1,17,11,P,50.4
baseline,none,0,1,17,12,P,50.5
baseline,none,0,1,17,13,P,50.4
baseline,none,0,1,17,14,P,50.6
baseline,none,0,1,17,15,P,50.4
baseline,none,0,1,17,16,P,51.5
baseline,none,0,1,17,17,P,50.5
baseline,none,0,1,17,18,P,50.7
baseline,none,0,1,17,19,P,50.6
baseline,none,0,1,17,20,P,50.5
baseline,none,0,1,17,21,P,50.5
baseline,none,0,1,17,22,P,50.4
baseline,none,0,1,17,23,P,50.3
baseline,none,0,1,17,24,P,50.3
baseline,none,0,1,17,25,P,50.4
baseline,none,0,1,17,26,P,50.4
baseline,none,0,1,17,27,P,50.3
baseline,none,0,1,17,28,P,50.7
baseline,none,0,1,17,29,P,51.6
baseline,none,0,1,18,0,I,71.3
baseline,none,0,1,18,1,P,50.3
