condition,strategy,timeout_ms,run,num_frames,stall_count,stall_total_s,stall_from_duration_s,stall_max_ms
lossy,reset-at-object,200,6,767,6,3.03,2.537,958.0
lossy,reset-at-object,200,7,796,5,2.086,1.574,950.0
lossy,reset-at-object,200,8,771,4,2.826,2.366,949.0
lossy,reset-at-object,200,9,829,1,0.86,0.444,893.0
lossy,reset-at-object,200,10,796,3,1.961,1.507,929.0
lossy,reset-at-object,500,1,883,0,0.0,0,0
lossy,reset-at-object,500,2,873,0,0.0,0,0
lossy,reset-at-object,500,3,883,0,0.0,0,0
lossy,reset-at-object,500,4,871,0,0.0,0,0
lossy,reset-at-object,500,5,883,0,0.0,0,0
lossy,reset-at-object,500,6,883,0,0.0,0,0
lossy,reset-at-object,500,7,883,0,0.0,0,0
lossy,reset-at-object,500,8,883,0,0.0,0,0
lossy,reset-at-object,500,9,883,0,0.0,0,0
lossy,reset-at-object,500,10,883,0,0.0,0,0
lossy,reset-at-object,1000,1,883,0,0.0,0,0
lossy,reset-at-object,1000,2,853,0,0.0,0,0
lossy,reset-at-object,1000,3,883,0,0.0,0,0
lossy,reset-at-object,1000,4,883,0,0.0,0,0
lossy,reset-at-object,1000,5,883,0,0.0,0,0
lossy,reset-at-object,1000,6,883,0,0.0,0,0
lossy,reset-at-object,1000,7,883,0,0.0,0,0
lossy,reset-at-object,1000,8,883,0,0.0,0,0
lossy,reset-at-object,1000,9,883,0,0.0,0,0
lossy,reset-at-object,1000,10,883,0,0.0,0,0
lossy,reset-stream,100,1,518,7,9.735,9.462,5957.0
lossy,reset-stream,100,2,519,7,8.893,8.526,3104.0
lossy,reset-stream,100,3,488,7,11.686,11.477,4978.0
lossy,reset-stream,100,4,518,5,9.756,9.517,3617.0
lossy,reset-stream,100,5,635,2,4.786,4.508,4710.0
lossy,reset-stream,100,6,544,5,7.81,7.488,3152.0
lossy,reset-stream,100,7,429,8,13.813,13.518,5019.0
lossy,reset-stream,100,8,518,6,8.908,8.503,3121.0
lossy,reset-stream,100,9,578,8,8.773,8.394,2715.0
lossy,reset-stream,100,10,580,7,8.657,8.377,1999.0
lossy,reset-stream,200,1,707,5,5.058,4.646,3785.0
lossy,reset-stream,200,2,652,7,5.478,5.045,1490.0
lossy,reset-stream,200,3,841,1,0.538,0.113,571.0
lossy,reset-stream,200,4,795,3,2.086,1.621,1121.0
lossy,reset-stream,200,5,719,2,1.84,1.512,1652.0
lossy,reset-stream,200,6,797,3,1.988,1.532,972.0
lossy,reset-stream,200,7,738,6,3.999,3.599,1884.0
lossy,reset-stream,200,8,743,6,3.9,3.346,1114.0
lossy,reset-stream,200,9,817,3,1.387,0.878,1129.0
lossy,reset-stream,200,10,761,6,3.216,2.746,1078.0
lossy,reset-stream,500,1,883,0,0.0,0,0
lossy,reset-stream,500,2,883,0,0.0,0,0
lossy,reset-stream,500,3,883,0,0.0,0,0
lossy,reset-stream,500,4,883,0,0.0,0,0
lossy,reset-stream,500,5,883,0,0.0,0,0
lossy,reset-stream,500,6,883,0,0.0,0,0
lossy,reset-stream,500,7,883,0,0.0,0,0
lossy,reset-stream,500,8,883,0,0.0,0,0
lossy,reset-stream,500,9,883,0,0.0,0,0
lossy,reset-stream,500,10,883,0,0.0,0,0
lossy,reset-stream,1000,1,883,0,0.0,0,0
lossy,reset-stream,1000,2,883,0,0.0,0,0
lossy,reset-stream,1000,3,883,0,0.0,0,0
lossy,reset-stream,1000,4,883,0,0.0,0,0
lossy,reset-stream,1000,5,883,0,0.0,0,0
lossy,reset-stream,1000,6,883,0,0.0,0,0
lossy,reset-stream,1000,7,883,0,0.0,0,0
lossy,reset-stream,1000,8,883,0,0.0,0,0
lossy,reset-stream,1000,9,883,0,0.0,0,0
lossy,reset-stream,1000,10,883,0,0.0,0,0
severe,none,0,1,882,21,8.835,9.212,972.0
severe,none,0,2,883,24,9.333,9.328,1203.0
severe,none,0,3,880,22,8.551,9.29,910.0
severe,none,0,4,880,22,8.788,9.444,913.0
severe,none,0,5,878,25,9.08,9.297,910.0
severe,none,0,6,882,22,8.728,9.201,911.0
severe,none,0,7,883,21,8.386,9.067,924.0
severe,none,0,8,881,26,9.528,9.526,925.0
severe,none,0,9,883,22,9.142,9.329,918.0
severe,none,0,10,882,19,8.103,9.135,889.0
severe,reset-at-keyframe,100,1,324,20,17.873,17.587,1094.0
severe,reset-at-keyframe,100,2,266,22,19.707,19.545,1431.0
severe,reset-at-keyframe,100,3,324,21,17.809,17.576,1107.0
severe,reset-at-keyframe,100,4,324,21,17.802,17.547,1214.0
severe,reset-at-keyframe,100,5,295,22,18.762,18.48,1118.0
severe,reset-at-keyframe,100,6,382,19,15.878,15.599,1170.0
severe,reset-at-keyframe,100,7,353,19,16.831,16.56,1095.0
severe,reset-at-keyframe,100,8,242,23,20.545,20.351,1163.0
severe,reset-at-keyframe,100,9,292,21,18.834,18.642,1123.0
severe,reset-at-keyframe,100,10,324,20,17.772,17.579,1118.0
severe,reset-at-keyframe,200,1,390,20,15.488,15.292,1156.0
severe,reset-at-keyframe,200,2,455,17,13.459,13.165,1142.0
severe,reset-at-keyframe,200,3,479,15,12.642,12.34,1228.0
severe,reset-at-keyframe,200,4,412,17,14.882,14.571,1117.0
severe,reset-at-keyframe,200,5,440,17,13.947,13.671,1106.0
severe,reset-at-keyframe,200,6,483,17,12.548,12.211,1118.0
severe,reset-at-keyframe,200,7,469,15,12.939,12.688,1273.0
severe,reset-at-keyframe,200,8,469,15,12.938,12.682,1356.0
severe,reset-at-keyframe,200,9,469,15,12.934,12.656,1119.0
severe,reset-at-keyframe,200,10,382,19,15.878,15.63,1119.0
severe,reset-at-keyframe,500,1,556,14,9.846,9.731,961.0
severe,reset-at-keyframe,500,2,532,16,10.914,10.506,1011.0
severe,reset-at-keyframe,500,3,552,15,10.27,9.828,992.0
severe,reset-at-keyframe,500,4,542,16,10.548,10.218,1083.0
severe,reset-at-keyframe,500,5,556,16,10.115,9.752,1005.0
severe,reset-at-keyframe,500,6,556,15,9.984,9.706,988.0
severe,reset-at-keyframe,500,7,554,15,9.987,9.798,1041.0
severe,reset-at-keyframe,500,8,550,16,10.385,9.907,1047.0
severe,reset-at-keyframe,500,9,570,16,9.637,9.277,996.0
